,teacher,subject,unavailable_time,unavailable_day,priority,location,grade,available_time,available_day
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,2
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,3
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,4
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,5
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,7
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,8
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,9
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,11
1,t_2,english,"3,4","6,10,13,0",2,b,g6,0,12
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,1
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,2
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,3
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,4
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,5
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,7
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,8
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,9
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,11
1,t_2,english,"3,4","6,10,13,0",2,b,g6,1,12
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,1
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,2
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,3
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,4
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,5
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,7
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,8
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,9
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,11
1,t_2,english,"3,4","6,10,13,0",2,b,g6,2,12
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,1
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,2
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,3
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,4
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,5
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,7
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,8
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,9
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,11
1,t_2,english,"3,4","6,10,13,0",2,b,g6,5,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,0,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,1,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,2,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g4,5,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,0,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,1,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,2,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g5,5,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,0,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,1,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,2,12
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,1
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,2
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,3
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,4
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,5
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,7
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,8
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,9
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,11
1,t_2,social_science,"3,4","6,10,13,0",2,b,g6,5,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,9
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,10
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,11
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,0,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,9
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,10
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,11
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,1,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,9
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,10
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,11
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g7,5,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,9
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,10
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,11
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,0,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,9
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,10
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,11
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,1,12
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,0
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,1
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,2
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,4
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,7
2,t_3,literature,"2,3,4","8,6,5,3,13",3,c,g8,5,9
