,teacher,available_time,available_day,subject,grade,priority,location
2102,t_2,8,9,english,g3,0,77
2113,t_2,9,9,english,g3,0,77
2124,t_2,6,10,english,g3,0,77
2135,t_2,7,10,english,g3,0,77
2146,t_2,8,10,english,g3,0,77
2157,t_2,9,10,english,g3,0,77
2168,t_2,7,11,english,g3,0,77
2179,t_2,8,11,english,g3,0,77
2190,t_2,9,11,english,g3,0,77
2201,t_2,7,13,english,g3,0,77
2212,t_2,8,13,english,g3,0,77
2223,t_2,9,13,english,g3,0,77
2234,t_2,6,14,english,g3,0,77
2245,t_2,7,14,english,g3,0,77
2256,t_2,8,14,english,g3,0,77
2267,t_2,6,16,english,g3,0,77
2278,t_2,7,16,english,g3,0,77
2289,t_2,8,16,english,g3,0,77
2300,t_2,6,17,english,g3,0,77
2311,t_2,7,17,english,g3,0,77
2322,t_2,8,17,english,g3,0,77
2333,t_2,9,17,english,g3,0,77
2344,t_2,6,18,english,g3,0,77
2355,t_2,7,18,english,g3,0,77
2366,t_2,8,18,english,g3,0,77
2377,t_2,9,18,english,g3,0,77
2388,t_2,6,19,english,g3,0,77
2399,t_2,7,19,english,g3,0,77
2410,t_2,8,19,english,g3,0,77
2421,t_2,7,22,english,g3,0,77
2432,t_2,8,22,english,g3,0,77
2443,t_2,6,23,english,g3,0,77
2454,t_2,7,23,english,g3,0,77
2465,t_2,8,23,english,g3,0,77
2476,t_2,9,23,english,g3,0,77
2487,t_2,6,24,english,g3,0,77
2498,t_2,7,24,english,g3,0,77
2509,t_2,8,24,english,g3,0,77
2520,t_2,7,32,english,g3,0,77
2531,t_2,8,32,english,g3,0,77
2542,t_2,9,32,english,g3,0,77
2553,t_2,6,33,english,g3,0,77
2564,t_2,7,33,english,g3,0,77
2575,t_2,8,33,english,g3,0,77
2586,t_2,9,33,english,g3,0,77
2597,t_2,6,34,english,g3,0,77
2608,t_2,7,34,english,g3,0,77
2619,t_2,8,34,english,g3,0,77
2630,t_2,9,34,english,g3,0,77
2641,t_2,6,35,english,g3,0,77
2652,t_2,7,35,english,g3,0,77
2663,t_2,8,35,english,g3,0,77
2674,t_2,6,37,english,g3,0,77
2685,t_2,7,37,english,g3,0,77
2696,t_2,8,37,english,g3,0,77
2707,t_2,9,38,english,g3,0,77
2718,t_2,9,39,english,g3,0,77
2729,t_2,9,40,english,g3,0,77
2740,t_2,9,41,english,g3,0,77
2751,t_2,6,7,english,g4,0,77
2762,t_2,7,7,english,g4,0,77
2773,t_2,8,7,english,g4,0,77
2784,t_2,9,7,english,g4,0,77
2795,t_2,7,9,english,g4,0,77
2806,t_2,8,9,english,g4,0,77
2817,t_2,9,9,english,g4,0,77
2828,t_2,6,10,english,g4,0,77
2839,t_2,7,10,english,g4,0,77
2850,t_2,8,10,english,g4,0,77
2861,t_2,9,10,english,g4,0,77
2872,t_2,7,11,english,g4,0,77
2883,t_2,8,11,english,g4,0,77
2894,t_2,9,11,english,g4,0,77
2905,t_2,7,13,english,g4,0,77
2916,t_2,8,13,english,g4,0,77
2927,t_2,9,13,english,g4,0,77
2938,t_2,6,14,english,g4,0,77
2949,t_2,7,14,english,g4,0,77
2960,t_2,8,14,english,g4,0,77
2971,t_2,6,16,english,g4,0,77
2982,t_2,7,16,english,g4,0,77
2993,t_2,8,16,english,g4,0,77
3004,t_2,6,17,english,g4,0,77
3015,t_2,7,17,english,g4,0,77
3026,t_2,8,17,english,g4,0,77
3037,t_2,9,17,english,g4,0,77
3048,t_2,6,18,english,g4,0,77
3059,t_2,7,18,english,g4,0,77
3070,t_2,8,18,english,g4,0,77
3081,t_2,9,18,english,g4,0,77
3092,t_2,6,19,english,g4,0,77
3103,t_2,7,19,english,g4,0,77
3114,t_2,8,19,english,g4,0,77
3125,t_2,7,22,english,g4,0,77
3136,t_2,8,22,english,g4,0,77
3147,t_2,6,23,english,g4,0,77
3158,t_2,7,23,english,g4,0,77
3169,t_2,8,23,english,g4,0,77
3180,t_2,9,23,english,g4,0,77
3191,t_2,6,24,english,g4,0,77
3202,t_2,7,24,english,g4,0,77
3213,t_2,8,24,english,g4,0,77
3224,t_2,7,32,english,g4,0,77
3235,t_2,8,32,english,g4,0,77
3246,t_2,9,32,english,g4,0,77
3257,t_2,6,33,english,g4,0,77
3268,t_2,7,33,english,g4,0,77
3279,t_2,8,33,english,g4,0,77
3290,t_2,9,33,english,g4,0,77
3301,t_2,6,34,english,g4,0,77
3312,t_2,7,34,english,g4,0,77
3323,t_2,8,34,english,g4,0,77
3334,t_2,9,34,english,g4,0,77
3345,t_2,6,35,english,g4,0,77
3356,t_2,7,35,english,g4,0,77
3367,t_2,8,35,english,g4,0,77
3378,t_2,6,37,english,g4,0,77
3389,t_2,7,37,english,g4,0,77
3400,t_2,8,37,english,g4,0,77
3411,t_2,9,38,english,g4,0,77
3422,t_2,9,39,english,g4,0,77
3433,t_2,9,40,english,g4,0,77
3444,t_2,9,41,english,g4,0,77
3455,t_2,6,7,english,g5,0,77
3466,t_2,7,7,english,g5,0,77
3477,t_2,8,7,english,g5,0,77
3488,t_2,9,7,english,g5,0,77
3499,t_2,7,9,english,g5,0,77
3510,t_2,8,9,english,g5,0,77
3521,t_2,9,9,english,g5,0,77
3532,t_2,6,10,english,g5,0,77
3543,t_2,7,10,english,g5,0,77
3554,t_2,8,10,english,g5,0,77
3565,t_2,9,10,english,g5,0,77
3576,t_2,7,11,english,g5,0,77
3587,t_2,8,11,english,g5,0,77
3598,t_2,9,11,english,g5,0,77
3609,t_2,7,13,english,g5,0,77
3620,t_2,8,13,english,g5,0,77
3631,t_2,9,13,english,g5,0,77
3642,t_2,6,14,english,g5,0,77
3653,t_2,7,14,english,g5,0,77
3664,t_2,8,14,english,g5,0,77
3675,t_2,6,16,english,g5,0,77
3686,t_2,7,16,english,g5,0,77
3697,t_2,8,16,english,g5,0,77
3708,t_2,6,17,english,g5,0,77
3719,t_2,7,17,english,g5,0,77
3730,t_2,8,17,english,g5,0,77
3741,t_2,9,17,english,g5,0,77
3752,t_2,6,18,english,g5,0,77
3763,t_2,7,18,english,g5,0,77
3774,t_2,8,18,english,g5,0,77
3785,t_2,9,18,english,g5,0,77
3796,t_2,6,19,english,g5,0,77
3807,t_2,7,19,english,g5,0,77
3818,t_2,8,19,english,g5,0,77
3829,t_2,7,22,english,g5,0,77
3840,t_2,8,22,english,g5,0,77
3851,t_2,6,23,english,g5,0,77
3862,t_2,7,23,english,g5,0,77
3873,t_2,8,23,english,g5,0,77
3884,t_2,9,23,english,g5,0,77
3895,t_2,6,24,english,g5,0,77
3906,t_2,7,24,english,g5,0,77
3917,t_2,8,24,english,g5,0,77
3928,t_2,7,32,english,g5,0,77
3939,t_2,8,32,english,g5,0,77
3950,t_2,9,32,english,g5,0,77
3961,t_2,6,33,english,g5,0,77
3972,t_2,7,33,english,g5,0,77
3983,t_2,8,33,english,g5,0,77
3994,t_2,9,33,english,g5,0,77
4005,t_2,6,34,english,g5,0,77
4016,t_2,7,34,english,g5,0,77
4027,t_2,8,34,english,g5,0,77
4038,t_2,9,34,english,g5,0,77
4049,t_2,6,35,english,g5,0,77
4060,t_2,7,35,english,g5,0,77
4071,t_2,8,35,english,g5,0,77
4082,t_2,6,37,english,g5,0,77
4093,t_2,7,37,english,g5,0,77
4104,t_2,8,37,english,g5,0,77
4115,t_2,9,38,english,g5,0,77
4126,t_2,9,39,english,g5,0,77
4137,t_2,9,40,english,g5,0,77
4148,t_2,9,41,english,g5,0,77
4159,t_2,6,7,literature,g1,0,77
4170,t_2,7,7,literature,g1,0,77
4181,t_2,8,7,literature,g1,0,77
4192,t_2,9,7,literature,g1,0,77
4203,t_2,7,9,literature,g1,0,77
4214,t_2,8,9,literature,g1,0,77
4225,t_2,9,9,literature,g1,0,77
4236,t_2,6,10,literature,g1,0,77
4247,t_2,7,10,literature,g1,0,77
4258,t_2,8,10,literature,g1,0,77
4269,t_2,9,10,literature,g1,0,77
4280,t_2,7,11,literature,g1,0,77
4291,t_2,8,11,literature,g1,0,77
4302,t_2,9,11,literature,g1,0,77
4313,t_2,7,13,literature,g1,0,77
4324,t_2,8,13,literature,g1,0,77
4335,t_2,9,13,literature,g1,0,77
4346,t_2,6,14,literature,g1,0,77
4357,t_2,7,14,literature,g1,0,77
4368,t_2,8,14,literature,g1,0,77
4379,t_2,6,16,literature,g1,0,77
4390,t_2,7,16,literature,g1,0,77
4401,t_2,8,16,literature,g1,0,77
4412,t_2,6,17,literature,g1,0,77
4423,t_2,7,17,literature,g1,0,77
4434,t_2,8,17,literature,g1,0,77
4445,t_2,9,17,literature,g1,0,77
4456,t_2,6,18,literature,g1,0,77
4467,t_2,7,18,literature,g1,0,77
4478,t_2,8,18,literature,g1,0,77
4489,t_2,9,18,literature,g1,0,77
4500,t_2,6,19,literature,g1,0,77
4511,t_2,7,19,literature,g1,0,77
4522,t_2,8,19,literature,g1,0,77
4533,t_2,7,22,literature,g1,0,77
4544,t_2,8,22,literature,g1,0,77
4555,t_2,6,23,literature,g1,0,77
4566,t_2,7,23,literature,g1,0,77
4577,t_2,8,23,literature,g1,0,77
4588,t_2,9,23,literature,g1,0,77
4599,t_2,6,24,literature,g1,0,77
4610,t_2,7,24,literature,g1,0,77
4621,t_2,8,24,literature,g1,0,77
4632,t_2,7,32,literature,g1,0,77
4643,t_2,8,32,literature,g1,0,77
4654,t_2,9,32,literature,g1,0,77
4665,t_2,6,33,literature,g1,0,77
4676,t_2,7,33,literature,g1,0,77
4687,t_2,8,33,literature,g1,0,77
4698,t_2,9,33,literature,g1,0,77
4709,t_2,6,34,literature,g1,0,77
4720,t_2,7,34,literature,g1,0,77
4731,t_2,8,34,literature,g1,0,77
4742,t_2,9,34,literature,g1,0,77
4753,t_2,6,35,literature,g1,0,77
4764,t_2,7,35,literature,g1,0,77
4775,t_2,8,35,literature,g1,0,77
4786,t_2,6,37,literature,g1,0,77
4797,t_2,7,37,literature,g1,0,77
4808,t_2,8,37,literature,g1,0,77
4819,t_2,9,38,literature,g1,0,77
4830,t_2,9,39,literature,g1,0,77
4841,t_2,9,40,literature,g1,0,77
4852,t_2,9,41,literature,g1,0,77
4863,t_2,6,7,literature,g2,0,77
4874,t_2,7,7,literature,g2,0,77
4885,t_2,8,7,literature,g2,0,77
4896,t_2,9,7,literature,g2,0,77
4907,t_2,7,9,literature,g2,0,77
4918,t_2,8,9,literature,g2,0,77
4929,t_2,9,9,literature,g2,0,77
4940,t_2,6,10,literature,g2,0,77
4951,t_2,7,10,literature,g2,0,77
4962,t_2,8,10,literature,g2,0,77
4973,t_2,9,10,literature,g2,0,77
4984,t_2,7,11,literature,g2,0,77
4995,t_2,8,11,literature,g2,0,77
5006,t_2,9,11,literature,g2,0,77
5017,t_2,7,13,literature,g2,0,77
5028,t_2,8,13,literature,g2,0,77
5039,t_2,9,13,literature,g2,0,77
5050,t_2,6,14,literature,g2,0,77
5061,t_2,7,14,literature,g2,0,77
5072,t_2,8,14,literature,g2,0,77
5083,t_2,6,16,literature,g2,0,77
5094,t_2,7,16,literature,g2,0,77
5105,t_2,8,16,literature,g2,0,77
5116,t_2,6,17,literature,g2,0,77
5127,t_2,7,17,literature,g2,0,77
5138,t_2,8,17,literature,g2,0,77
5149,t_2,9,17,literature,g2,0,77
5160,t_2,6,18,literature,g2,0,77
5171,t_2,7,18,literature,g2,0,77
5182,t_2,8,18,literature,g2,0,77
5193,t_2,9,18,literature,g2,0,77
5204,t_2,6,19,literature,g2,0,77
5215,t_2,7,19,literature,g2,0,77
5226,t_2,8,19,literature,g2,0,77
5237,t_2,7,22,literature,g2,0,77
5248,t_2,8,22,literature,g2,0,77
5259,t_2,6,23,literature,g2,0,77
5270,t_2,7,23,literature,g2,0,77
5281,t_2,8,23,literature,g2,0,77
5292,t_2,9,23,literature,g2,0,77
5303,t_2,6,24,literature,g2,0,77
5314,t_2,7,24,literature,g2,0,77
5325,t_2,8,24,literature,g2,0,77
5336,t_2,7,32,literature,g2,0,77
5347,t_2,8,32,literature,g2,0,77
5358,t_2,9,32,literature,g2,0,77
5369,t_2,6,33,literature,g2,0,77
5380,t_2,7,33,literature,g2,0,77
5391,t_2,8,33,literature,g2,0,77
5402,t_2,9,33,literature,g2,0,77
5413,t_2,6,34,literature,g2,0,77
5424,t_2,7,34,literature,g2,0,77
5435,t_2,8,34,literature,g2,0,77
5446,t_2,9,34,literature,g2,0,77
5457,t_2,6,35,literature,g2,0,77
5468,t_2,7,35,literature,g2,0,77
5479,t_2,8,35,literature,g2,0,77
5490,t_2,6,37,literature,g2,0,77
5501,t_2,7,37,literature,g2,0,77
5512,t_2,8,37,literature,g2,0,77
5523,t_2,9,38,literature,g2,0,77
5534,t_2,9,39,literature,g2,0,77
5545,t_2,9,40,literature,g2,0,77
5556,t_2,9,41,literature,g2,0,77
5567,t_2,6,7,literature,g3,0,77
5578,t_2,7,7,literature,g3,0,77
5589,t_2,8,7,literature,g3,0,77
5600,t_2,9,7,literature,g3,0,77
5611,t_2,7,9,literature,g3,0,77
5622,t_2,8,9,literature,g3,0,77
5633,t_2,9,9,literature,g3,0,77
5644,t_2,6,10,literature,g3,0,77
5655,t_2,7,10,literature,g3,0,77
5666,t_2,8,10,literature,g3,0,77
5677,t_2,9,10,literature,g3,0,77
5688,t_2,7,11,literature,g3,0,77
5699,t_2,8,11,literature,g3,0,77
5710,t_2,9,11,literature,g3,0,77
5721,t_2,7,13,literature,g3,0,77
5732,t_2,8,13,literature,g3,0,77
5743,t_2,9,13,literature,g3,0,77
5754,t_2,6,14,literature,g3,0,77
5765,t_2,7,14,literature,g3,0,77
5776,t_2,8,14,literature,g3,0,77
5787,t_2,6,16,literature,g3,0,77
5798,t_2,7,16,literature,g3,0,77
5809,t_2,8,16,literature,g3,0,77
5820,t_2,6,17,literature,g3,0,77
5831,t_2,7,17,literature,g3,0,77
5842,t_2,8,17,literature,g3,0,77
5853,t_2,9,17,literature,g3,0,77
5864,t_2,6,18,literature,g3,0,77
5875,t_2,7,18,literature,g3,0,77
5886,t_2,8,18,literature,g3,0,77
5897,t_2,9,18,literature,g3,0,77
5908,t_2,6,19,literature,g3,0,77
5919,t_2,7,19,literature,g3,0,77
5930,t_2,8,19,literature,g3,0,77
5941,t_2,7,22,literature,g3,0,77
5952,t_2,8,22,literature,g3,0,77
5963,t_2,6,23,literature,g3,0,77
5974,t_2,7,23,literature,g3,0,77
5985,t_2,8,23,literature,g3,0,77
5996,t_2,9,23,literature,g3,0,77
6007,t_2,6,24,literature,g3,0,77
6018,t_2,7,24,literature,g3,0,77
6029,t_2,8,24,literature,g3,0,77
6040,t_2,7,32,literature,g3,0,77
6051,t_2,8,32,literature,g3,0,77
6062,t_2,9,32,literature,g3,0,77
6073,t_2,6,33,literature,g3,0,77
6084,t_2,7,33,literature,g3,0,77
6095,t_2,8,33,literature,g3,0,77
6106,t_2,9,33,literature,g3,0,77
6117,t_2,6,34,literature,g3,0,77
6128,t_2,7,34,literature,g3,0,77
6139,t_2,8,34,literature,g3,0,77
6150,t_2,9,34,literature,g3,0,77
6161,t_2,6,35,literature,g3,0,77
6172,t_2,7,35,literature,g3,0,77
6183,t_2,8,35,literature,g3,0,77
6194,t_2,6,37,literature,g3,0,77
6205,t_2,7,37,literature,g3,0,77
6216,t_2,8,37,literature,g3,0,77
6227,t_2,9,38,literature,g3,0,77
6238,t_2,9,39,literature,g3,0,77
6249,t_2,9,40,literature,g3,0,77
6260,t_2,9,41,literature,g3,0,77
6271,t_2,6,7,literature,g4,0,77
6282,t_2,7,7,literature,g4,0,77
6293,t_2,8,7,literature,g4,0,77
6304,t_2,9,7,literature,g4,0,77
6315,t_2,7,9,literature,g4,0,77
6326,t_2,8,9,literature,g4,0,77
6337,t_2,9,9,literature,g4,0,77
6348,t_2,6,10,literature,g4,0,77
6359,t_2,7,10,literature,g4,0,77
6370,t_2,8,10,literature,g4,0,77
6381,t_2,9,10,literature,g4,0,77
6392,t_2,7,11,literature,g4,0,77
6403,t_2,8,11,literature,g4,0,77
6414,t_2,9,11,literature,g4,0,77
6425,t_2,7,13,literature,g4,0,77
6436,t_2,8,13,literature,g4,0,77
6447,t_2,9,13,literature,g4,0,77
6458,t_2,6,14,literature,g4,0,77
6469,t_2,7,14,literature,g4,0,77
6480,t_2,8,14,literature,g4,0,77
6491,t_2,6,16,literature,g4,0,77
6502,t_2,7,16,literature,g4,0,77
6513,t_2,8,16,literature,g4,0,77
6524,t_2,6,17,literature,g4,0,77
6535,t_2,7,17,literature,g4,0,77
6546,t_2,8,17,literature,g4,0,77
6557,t_2,9,17,literature,g4,0,77
6568,t_2,6,18,literature,g4,0,77
6579,t_2,7,18,literature,g4,0,77
6590,t_2,8,18,literature,g4,0,77
6601,t_2,9,18,literature,g4,0,77
6612,t_2,6,19,literature,g4,0,77
6623,t_2,7,19,literature,g4,0,77
6634,t_2,8,19,literature,g4,0,77
6645,t_2,7,22,literature,g4,0,77
6656,t_2,8,22,literature,g4,0,77
6667,t_2,6,23,literature,g4,0,77
6678,t_2,7,23,literature,g4,0,77
6689,t_2,8,23,literature,g4,0,77
6700,t_2,9,23,literature,g4,0,77
6711,t_2,6,24,literature,g4,0,77
6722,t_2,7,24,literature,g4,0,77
6733,t_2,8,24,literature,g4,0,77
6744,t_2,7,32,literature,g4,0,77
6755,t_2,8,32,literature,g4,0,77
6766,t_2,9,32,literature,g4,0,77
6777,t_2,6,33,literature,g4,0,77
6788,t_2,7,33,literature,g4,0,77
6799,t_2,8,33,literature,g4,0,77
6810,t_2,9,33,literature,g4,0,77
6821,t_2,6,34,literature,g4,0,77
6832,t_2,7,34,literature,g4,0,77
6843,t_2,8,34,literature,g4,0,77
6854,t_2,9,34,literature,g4,0,77
6865,t_2,6,35,literature,g4,0,77
6876,t_2,7,35,literature,g4,0,77
6887,t_2,8,35,literature,g4,0,77
6898,t_2,6,37,literature,g4,0,77
6909,t_2,7,37,literature,g4,0,77
6920,t_2,8,37,literature,g4,0,77
6931,t_2,9,38,literature,g4,0,77
6942,t_2,9,39,literature,g4,0,77
6953,t_2,9,40,literature,g4,0,77
6964,t_2,9,41,literature,g4,0,77
6975,t_2,6,7,literature,g5,0,77
6986,t_2,7,7,literature,g5,0,77
6997,t_2,8,7,literature,g5,0,77
7008,t_2,9,7,literature,g5,0,77
7019,t_2,7,9,literature,g5,0,77
7030,t_2,8,9,literature,g5,0,77
7041,t_2,9,9,literature,g5,0,77
7052,t_2,6,10,literature,g5,0,77
7063,t_2,7,10,literature,g5,0,77
7074,t_2,8,10,literature,g5,0,77
7085,t_2,9,10,literature,g5,0,77
7096,t_2,7,11,literature,g5,0,77
7107,t_2,8,11,literature,g5,0,77
7118,t_2,9,11,literature,g5,0,77
7129,t_2,7,13,literature,g5,0,77
7140,t_2,8,13,literature,g5,0,77
7151,t_2,9,13,literature,g5,0,77
7162,t_2,6,14,literature,g5,0,77
7173,t_2,7,14,literature,g5,0,77
7184,t_2,8,14,literature,g5,0,77
7195,t_2,6,16,literature,g5,0,77
7206,t_2,7,16,literature,g5,0,77
7217,t_2,8,16,literature,g5,0,77
7228,t_2,6,17,literature,g5,0,77
7239,t_2,7,17,literature,g5,0,77
7250,t_2,8,17,literature,g5,0,77
7261,t_2,9,17,literature,g5,0,77
7272,t_2,6,18,literature,g5,0,77
7283,t_2,7,18,literature,g5,0,77
7294,t_2,8,18,literature,g5,0,77
7305,t_2,9,18,literature,g5,0,77
7316,t_2,6,19,literature,g5,0,77
7327,t_2,7,19,literature,g5,0,77
7338,t_2,8,19,literature,g5,0,77
7349,t_2,7,22,literature,g5,0,77
7360,t_2,8,22,literature,g5,0,77
7371,t_2,6,23,literature,g5,0,77
7382,t_2,7,23,literature,g5,0,77
7393,t_2,8,23,literature,g5,0,77
7404,t_2,9,23,literature,g5,0,77
7415,t_2,6,24,literature,g5,0,77
7426,t_2,7,24,literature,g5,0,77
7437,t_2,8,24,literature,g5,0,77
7448,t_2,7,32,literature,g5,0,77
7459,t_2,8,32,literature,g5,0,77
7470,t_2,9,32,literature,g5,0,77
7481,t_2,6,33,literature,g5,0,77
7492,t_2,7,33,literature,g5,0,77
7503,t_2,8,33,literature,g5,0,77
7514,t_2,9,33,literature,g5,0,77
7525,t_2,6,34,literature,g5,0,77
7536,t_2,7,34,literature,g5,0,77
